Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Water,Non_Wetland,Bareland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
17,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
19,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
20,NULL,NULL,Wetland,NULL,Wetland,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,Wetland
22,NULL,NULL,Wetland,NULL,Wetland,Water
23,NULL,NULL,Wetland,NULL,Wetland,Forest
24,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
25,NULL,NULL,Wetland,Non_Water,Wetland,Water
26,NULL,NULL,Wetland,Non_Water,Wetland,Forest
27,NULL,NULL,Wetland,Water,Wetland,Bareland
28,NULL,NULL,Wetland,Water,Wetland,Water
29,NULL,NULL,Wetland,Water,Wetland,Forest
