Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDD_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
137,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
140,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
142,NULL,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
143,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
144,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
147,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
148,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
149,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
150,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
151,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
152,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
153,NULL,NULL,Water,Water,Water,NULL,NULL,Water
154,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
170,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
173,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
184,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
185,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
188,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
191,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
192,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
193,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
196,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
197,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
202,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
204,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
205,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
206,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
207,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
209,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
211,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
213,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
219,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
221,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
227,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
228,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
230,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
234,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
235,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
237,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
239,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
240,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
242,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
244,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
245,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
247,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
249,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
250,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
254,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
256,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
257,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
259,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
261,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
262,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
266,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
268,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
269,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
270,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
271,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
272,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
273,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
274,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
275,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
276,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
277,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
278,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
279,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
280,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
283,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
284,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
285,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
286,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,NULL
287,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
288,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
289,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
290,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
291,NULL,Wetland,Water,Water,Water,NULL,NULL,NULL
292,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
293,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
294,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
295,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
296,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
300,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
301,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
304,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
306,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
309,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
310,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
315,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
316,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
318,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
322,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
323,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
324,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
325,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
328,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
329,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
330,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
331,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
332,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
334,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
