Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
