Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
8,NULL,NULL,Shrubland,Water,Non_Wetland,Water
9,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
13,NULL,NULL,Grassland,Water,Non_Wetland,Water
14,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Water
17,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
18,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
23,NULL,NULL,Cropland,Water,Non_Wetland,Water
24,NULL,NULL,Wetland,NULL,Wetland,Forest
25,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
26,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
27,NULL,NULL,Wetland,Non_Water,Wetland,Water
28,NULL,NULL,Wetland,Non_Water,Wetland,Forest
29,NULL,NULL,Wetland,Water,Wetland,Grassland
30,NULL,NULL,Wetland,Water,Wetland,Water
31,NULL,NULL,Wetland,Water,Wetland,Forest
32,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
38,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
39,NULL,NULL,Bareland,Water,Non_Wetland,Water
40,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
42,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
43,NULL,NULL,Water,NULL,Water,Forest
44,NULL,NULL,Water,Non_Water,Water,Grassland
45,NULL,NULL,Water,Non_Water,Water,Bareland
46,NULL,NULL,Water,Non_Water,Water,Water
47,NULL,NULL,Water,Non_Water,Water,Forest
48,NULL,NULL,Water,Water,Water,Bareland
49,NULL,NULL,Water,Water,Water,Water
50,NULL,NULL,Water,Water,Water,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest
53,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
55,NULL,NULL,Forest,Water,Non_Wetland,Grassland
56,NULL,NULL,Forest,Water,Non_Wetland,Water
57,NULL,NULL,Forest,Water,Non_Wetland,Forest
58,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
59,NULL,Wetland,Water,Non_Water,Water,Forest
60,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
61,NULL,Bareland,NULL,NULL,Non_Wetland,Water
62,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
63,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
64,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
65,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
66,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
67,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
68,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
69,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
70,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
71,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
72,NULL,Bareland,Cropland,Water,Non_Wetland,Water
73,NULL,Bareland,Wetland,NULL,Wetland,Water
74,NULL,Bareland,Wetland,NULL,Wetland,Forest
75,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
76,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland
77,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
78,NULL,Bareland,Wetland,Non_Water,Wetland,Water
79,NULL,Bareland,Wetland,Water,Wetland,Bareland
80,NULL,Bareland,Wetland,Water,Wetland,Water
81,NULL,Bareland,Wetland,Water,Wetland,Forest
82,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
83,NULL,Bareland,Bareland,Water,Non_Wetland,Water
84,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
85,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
86,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland
87,NULL,Bareland,Built-up,Water,Non_Wetland,Water
88,NULL,Bareland,Water,Water,Water,Grassland
89,NULL,Bareland,Water,Water,Water,Bareland
90,NULL,Bareland,Water,Water,Water,Water
91,NULL,Bareland,Water,Water,Water,Forest
92,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
93,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
94,NULL,Bareland,Forest,NULL,Non_Wetland,Water
95,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
96,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
97,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
98,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
99,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
100,NULL,Bareland,Forest,Water,Non_Wetland,Water
101,NULL,Bareland,Forest,Water,Non_Wetland,Forest
102,NULL,Built-up,NULL,NULL,Non_Wetland,Water
103,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
109,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
110,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
111,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
112,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
117,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
118,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
119,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
120,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
121,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
123,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
124,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
125,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
126,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
127,NULL,Built-up,Wetland,NULL,Wetland,Forest
128,NULL,Built-up,Wetland,Non_Water,Wetland,Water
129,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
130,NULL,Built-up,Wetland,Water,Wetland,Bareland
131,NULL,Built-up,Wetland,Water,Wetland,Built-up
132,NULL,Built-up,Wetland,Water,Wetland,Water
133,NULL,Built-up,Wetland,Water,Wetland,Forest
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
136,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
138,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
139,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
140,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
141,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
147,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
148,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
149,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
150,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
151,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
152,NULL,Built-up,Built-up,Water,Non_Wetland,Water
153,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
154,NULL,Built-up,Water,NULL,Water,Grassland
155,NULL,Built-up,Water,NULL,Water,Water
156,NULL,Built-up,Water,Water,Water,Water
157,NULL,Built-up,Water,Water,Water,Forest
158,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
160,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
161,NULL,Built-up,Forest,NULL,Non_Wetland,Water
162,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
163,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
164,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
165,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
166,NULL,Built-up,Forest,Water,Non_Wetland,Water
167,NULL,Built-up,Forest,Water,Non_Wetland,Forest
168,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
169,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
170,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
171,NULL,Water,Shrubland,NULL,Non_Wetland,Water
172,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
173,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
