Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Bareland
66,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
69,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
71,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Water
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
80,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
81,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
86,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
