Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Water
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Built-up,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
299,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,NULL
300,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
304,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
