Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LVP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
31,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Water
35,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
52,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
53,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,Water
61,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL
68,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,Water
71,NULL,NULL,Cropland,Water,Non_Wetland,Forest
72,NULL,NULL,Wetland,NULL,Wetland,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,Bareland
75,NULL,NULL,Wetland,NULL,Wetland,Water
76,NULL,NULL,Wetland,NULL,Wetland,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
78,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
79,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
80,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
81,NULL,NULL,Wetland,Non_Water,Wetland,Water
82,NULL,NULL,Wetland,Non_Water,Wetland,Forest
83,NULL,NULL,Wetland,Water,Wetland,NULL
84,NULL,NULL,Wetland,Water,Wetland,Grassland
85,NULL,NULL,Wetland,Water,Wetland,Wetland
86,NULL,NULL,Wetland,Water,Wetland,Bareland
87,NULL,NULL,Wetland,Water,Wetland,Built-up
88,NULL,NULL,Wetland,Water,Wetland,Water
89,NULL,NULL,Wetland,Water,Wetland,Forest
90,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
93,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
96,NULL,NULL,Bareland,NULL,Non_Wetland,Water
97,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
104,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,NULL,Bareland,Water,Non_Wetland,Water
107,NULL,NULL,Bareland,Water,Non_Wetland,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
109,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
113,NULL,NULL,Built-up,NULL,Non_Wetland,Water
114,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
119,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
