Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Water
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Built-up
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
241,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
267,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
268,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
269,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
270,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
331,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Forest
