Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LNF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LNF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LNF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LNF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LNF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LNF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Water
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Water
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Bareland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
329,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
