Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
162,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
163,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
165,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
