Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
30,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
31,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Forest
32,NULL,NULL,Water,NULL,Water,Water,Water,Forest
33,NULL,NULL,Water,Water,Water,Water,Water,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
41,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
45,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
54,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
55,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
57,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Forest
58,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
59,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
60,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
61,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Forest
62,NULL,Wetland,Wetland,NULL,Wetland,Water,NULL,Grassland
63,NULL,Wetland,Wetland,NULL,Wetland,Water,NULL,Water
64,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
65,NULL,Wetland,Wetland,Non_Water,Wetland,Forest,NULL,Forest
66,NULL,Wetland,Wetland,Water,Wetland,Water,NULL,Water
67,NULL,Wetland,Water,Water,Water,Water,NULL,Water
68,NULL,Wetland,Water,Water,Water,Water,NULL,Forest
69,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
70,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
71,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
72,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Built-up
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
89,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
90,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,NULL,Forest
91,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
92,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
