Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Water
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
