Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Built-up
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
