Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
40,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
41,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
42,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
46,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
