Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
18,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
24,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
25,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
26,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
27,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
28,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
33,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
37,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
38,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
39,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
40,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
41,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
42,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
43,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
44,NULL,NULL,Water,Water,Water,NULL,NULL,Water
45,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
46,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
55,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
59,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
62,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
63,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
67,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
68,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
69,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
71,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
76,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
78,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
