Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LWQ_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
70,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
81,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
82,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
83,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
84,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
85,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
86,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
87,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
88,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
89,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
90,NULL,NULL,Water,Water,Water,NULL,NULL,Water
91,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
113,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
116,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
117,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
118,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
119,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
120,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
126,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
127,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
128,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
129,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
130,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
131,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
133,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
135,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
141,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
142,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
143,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
144,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
145,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
146,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
147,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
148,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
149,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
150,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
151,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
152,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
154,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
162,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
169,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
170,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
171,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
172,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
173,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
174,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
175,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
176,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
182,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
187,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
188,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
189,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
190,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
191,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
192,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
193,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
194,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
195,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
196,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
200,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
201,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
202,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
207,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
208,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
215,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
224,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
227,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
228,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
232,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
233,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,NULL
234,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
235,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
237,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
238,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
244,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
246,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
247,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
248,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
251,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
252,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
253,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
255,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
256,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
257,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
258,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
259,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
260,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
261,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
262,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
265,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
266,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
267,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
269,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
270,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
274,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
284,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
285,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
288,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
289,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
294,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
296,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
297,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
298,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
301,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
302,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
303,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
304,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
305,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
306,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
307,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
308,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
309,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
312,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
313,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
314,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
316,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
317,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
318,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
322,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
324,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
325,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
326,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
327,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
328,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
329,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
330,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
331,NULL,Water,Water,Water,Water,NULL,NULL,Water
332,NULL,Water,Water,Water,Water,NULL,NULL,Forest
333,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
335,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
336,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
337,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
338,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
339,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
340,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
341,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
342,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
343,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
344,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
