Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
