Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R
123,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
124,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
130,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
131,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
132,NULL,Cropland,Grassland,Water,Non_Wetland,Water
133,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
136,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
138,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
139,NULL,Cropland,Wetland,NULL,Wetland,Water
140,NULL,Cropland,Wetland,Water,Wetland,Water
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
145,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
146,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
151,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland
152,NULL,Cropland,Water,NULL,Water,Grassland
153,NULL,Cropland,Water,NULL,Water,Bareland
154,NULL,Cropland,Water,NULL,Water,Forest
155,NULL,Cropland,Water,Non_Water,Water,Grassland
156,NULL,Cropland,Water,Non_Water,Water,Bareland
157,NULL,Cropland,Water,Non_Water,Water,Forest
158,NULL,Cropland,Water,Water,Water,Water
159,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
160,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
161,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
162,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
163,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
164,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
165,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
166,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
167,NULL,Cropland,Forest,Water,Non_Wetland,Water
168,NULL,Cropland,Forest,Water,Non_Wetland,Forest
169,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
170,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
171,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
176,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
177,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
178,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
179,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
180,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
181,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
182,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
183,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
184,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
185,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
186,NULL,Wetland,Wetland,NULL,Wetland,Forest
187,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
188,NULL,Wetland,Wetland,Water,Wetland,Grassland
189,NULL,Wetland,Wetland,Water,Wetland,Water
190,NULL,Wetland,Wetland,Water,Wetland,Forest
191,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Wetland,Water,NULL,Water,Grassland
193,NULL,Wetland,Water,Non_Water,Water,Grassland
194,NULL,Wetland,Water,Non_Water,Water,Water
195,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
196,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
197,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
198,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
199,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
200,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
201,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
202,NULL,Bareland,NULL,Water,Non_Wetland,Water
203,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
205,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
206,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
207,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
208,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
209,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
210,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
211,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
212,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
213,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
214,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
215,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
216,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
217,NULL,Bareland,Grassland,Water,Non_Wetland,Water
218,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
219,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
220,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
221,NULL,Bareland,Wetland,Water,Wetland,Bareland
222,NULL,Bareland,Wetland,Water,Wetland,Built-up
223,NULL,Bareland,Wetland,Water,Wetland,Water
224,NULL,Bareland,Wetland,Water,Wetland,Forest
225,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
226,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
227,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
228,NULL,Bareland,Bareland,Water,Non_Wetland,Water
229,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
230,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
231,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
232,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
233,NULL,Bareland,Water,NULL,Water,Grassland
234,NULL,Bareland,Water,NULL,Water,Bareland
235,NULL,Bareland,Water,NULL,Water,Water
236,NULL,Bareland,Water,NULL,Water,Forest
237,NULL,Bareland,Water,Water,Water,Grassland
238,NULL,Bareland,Water,Water,Water,Water
239,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
240,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
241,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
242,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
243,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
244,NULL,Bareland,Forest,Water,Non_Wetland,Water
245,NULL,Bareland,Forest,Water,Non_Wetland,Forest
246,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
247,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
248,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
249,NULL,Built-up,NULL,NULL,Non_Wetland,Water
250,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
251,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
252,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland
253,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
254,NULL,Built-up,NULL,Water,Non_Wetland,Bareland
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
261,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
262,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
263,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
264,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
265,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
266,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
267,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
271,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
275,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
276,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
277,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
278,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
279,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
280,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
281,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
282,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
283,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
286,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
287,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
288,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
289,NULL,Built-up,Wetland,NULL,Wetland,Grassland
290,NULL,Built-up,Wetland,NULL,Wetland,Cropland
291,NULL,Built-up,Wetland,NULL,Wetland,Forest
292,NULL,Built-up,Wetland,Water,Wetland,Grassland
293,NULL,Built-up,Wetland,Water,Wetland,Bareland
294,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
295,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
299,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
300,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
307,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
308,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
309,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
310,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
311,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
312,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
313,NULL,Built-up,Water,NULL,Water,Grassland
314,NULL,Built-up,Water,NULL,Water,Bareland
315,NULL,Built-up,Water,NULL,Water,Built-up
316,NULL,Built-up,Water,NULL,Water,Water
317,NULL,Built-up,Water,NULL,Water,Forest
318,NULL,Built-up,Water,Non_Water,Water,Bareland
319,NULL,Built-up,Water,Water,Water,Grassland
320,NULL,Built-up,Water,Water,Water,Bareland
321,NULL,Built-up,Water,Water,Water,Water
322,NULL,Built-up,Water,Water,Water,Forest
323,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
324,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
325,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
326,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
327,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
328,NULL,Built-up,Forest,NULL,Non_Wetland,Water
329,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
330,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
331,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
332,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
333,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
334,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
335,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
336,NULL,Built-up,Forest,Water,Non_Wetland,Water
337,NULL,Built-up,Forest,Water,Non_Wetland,Forest
338,NULL,Water,NULL,NULL,Non_Wetland,Grassland
339,NULL,Water,NULL,NULL,Non_Wetland,Bareland
340,NULL,Water,NULL,NULL,Non_Wetland,Water
341,NULL,Water,NULL,NULL,Non_Wetland,Forest
342,NULL,Water,NULL,Water,Non_Wetland,Bareland
343,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
344,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
345,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
346,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
347,NULL,Water,Shrubland,NULL,Non_Wetland,Water
348,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
349,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
350,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
351,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
352,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
353,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
354,NULL,Water,Shrubland,Water,Non_Wetland,Water
355,NULL,Water,Shrubland,Water,Non_Wetland,Forest
356,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
357,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
358,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
359,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
360,NULL,Water,Grassland,NULL,Non_Wetland,Forest
361,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
362,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
363,NULL,Water,Grassland,Water,Non_Wetland,Grassland
364,NULL,Water,Grassland,Water,Non_Wetland,Bareland
365,NULL,Water,Grassland,Water,Non_Wetland,Water
366,NULL,Water,Grassland,Water,Non_Wetland,Forest
367,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
368,NULL,Water,Cropland,NULL,Non_Wetland,Water
369,NULL,Water,Cropland,NULL,Non_Wetland,Forest
370,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
371,NULL,Water,Wetland,NULL,Wetland,Bareland
372,NULL,Water,Wetland,Non_Water,Wetland,Grassland
373,NULL,Water,Wetland,Water,Wetland,Grassland
374,NULL,Water,Wetland,Water,Wetland,Water
375,NULL,Water,Wetland,Water,Wetland,Forest
376,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
377,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
378,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
379,NULL,Water,Bareland,NULL,Non_Wetland,Forest
380,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
381,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
382,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
383,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
384,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
385,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
386,NULL,Water,Built-up,NULL,Non_Wetland,Forest
387,NULL,Water,Built-up,Water,Non_Wetland,Bareland
388,NULL,Water,Built-up,Water,Non_Wetland,Water
389,NULL,Water,Water,NULL,Water,Grassland
390,NULL,Water,Water,NULL,Water,Water
391,NULL,Water,Water,NULL,Water,Forest
392,NULL,Water,Water,Non_Water,Water,Grassland
393,NULL,Water,Water,Non_Water,Water,Bareland
394,NULL,Water,Water,Non_Water,Water,Forest
395,NULL,Water,Water,Water,Water,Grassland
396,NULL,Water,Water,Water,Water,Bareland
397,NULL,Water,Water,Water,Water,Water
398,NULL,Water,Water,Water,Water,Forest
399,NULL,Water,Forest,NULL,Non_Wetland,Grassland
400,NULL,Water,Forest,NULL,Non_Wetland,Cropland
401,NULL,Water,Forest,NULL,Non_Wetland,Bareland
402,NULL,Water,Forest,NULL,Non_Wetland,Water
403,NULL,Water,Forest,NULL,Non_Wetland,Forest
404,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
405,NULL,Water,Forest,Non_Water,Non_Wetland,Water
406,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
407,NULL,Water,Forest,Water,Non_Wetland,Grassland
408,NULL,Water,Forest,Water,Non_Wetland,Water
409,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
410,NULL,Forest,NULL,NULL,Non_Wetland,Forest
411,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
412,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
413,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
414,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
415,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
416,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
417,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
418,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
419,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
420,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
421,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
422,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
423,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
424,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
425,NULL,Forest,Grassland,Non_Water,Non_Wetland,Bareland
426,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
427,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
428,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
429,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
430,NULL,Forest,Wetland,NULL,Wetland,Forest
431,NULL,Forest,Wetland,Non_Water,Wetland,Forest
432,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
433,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
434,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
435,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
436,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
