Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
248,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
250,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
253,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
262,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
266,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
