Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
2,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
3,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
5,NULL,NULL,NULL,Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,Bareland
7,NULL,NULL,NULL,Water,Non_Wetland,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Water
34,NULL,NULL,Grassland,Water,Non_Wetland,Forest
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,Water,Non_Wetland,Water
46,NULL,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Water
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
50,NULL,NULL,Wetland,Non_Water,Wetland,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,Forest
52,NULL,NULL,Wetland,Water,Wetland,Grassland
53,NULL,NULL,Wetland,Water,Wetland,Bareland
54,NULL,NULL,Wetland,Water,Wetland,Built-up
55,NULL,NULL,Wetland,Water,Wetland,Water
56,NULL,NULL,Wetland,Water,Wetland,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Water
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
67,NULL,NULL,Bareland,Water,Non_Wetland,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
75,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
