Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
67,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
69,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
71,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Wetland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
203,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
205,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
206,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
207,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
208,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
210,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
212,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
213,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Wetland,Grassland
214,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Bareland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
248,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
250,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
253,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
254,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
255,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
256,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
257,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
258,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Wetland,Grassland
259,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
260,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
261,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
265,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
276,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
278,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
279,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
280,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
283,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
287,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
290,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
292,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
294,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
295,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
296,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
297,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
298,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
299,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
300,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
303,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
304,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
305,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
306,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
307,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
308,NULL,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
309,NULL,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
310,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
311,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Wetland
313,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
316,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
317,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
318,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
320,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Built-up
321,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
323,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
324,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
325,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
