Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
40,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
46,NULL,NULL,Water,NULL,Water,Grassland,NULL,Forest
47,NULL,NULL,Water,Water,Water,NULL,NULL,Water
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
