Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Built-up
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
212,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
213,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
216,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
218,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
219,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
221,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
