Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
96,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
112,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
113,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
114,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Cropland
115,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
116,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
118,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Water
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Forest
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Bareland,Grassland
278,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
280,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
281,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
282,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
283,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
284,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
285,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Wetland
286,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
288,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
289,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
293,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
297,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
299,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
