Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
