Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
