Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KGT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KGT_M_R
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
60,NULL,NULL,Water,Water,Water,NULL,NULL,Water
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
77,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
79,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
82,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
85,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
86,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
89,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
93,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
94,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
95,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
97,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
104,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
105,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
108,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
128,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
131,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
146,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
147,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
149,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
150,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
153,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
154,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
155,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
156,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
158,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
159,NULL,Water,Water,Water,Water,NULL,NULL,Water
160,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
161,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
162,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
163,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
168,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
170,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
171,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
172,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
175,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
176,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
178,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
180,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
181,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
182,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
183,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
184,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
186,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
187,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
189,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
190,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
191,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
192,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
193,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
198,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
199,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
200,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
201,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
204,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
208,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
212,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
214,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
216,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
217,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
218,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
219,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
222,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
234,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
236,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
238,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
239,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
241,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
243,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
244,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
246,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
247,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
249,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
250,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
251,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
252,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
253,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
255,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
256,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
257,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
258,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
259,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
260,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
261,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
262,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
263,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
264,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
265,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
266,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
268,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
269,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
270,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
271,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
272,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
274,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
276,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
277,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
278,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
279,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
280,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
281,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
282,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
283,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
284,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
285,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
286,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
287,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
288,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
289,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
290,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
291,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
293,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
294,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
296,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
297,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
299,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
300,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
301,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
302,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
303,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
304,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
306,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
307,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
308,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
309,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
310,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
311,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
312,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
313,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
314,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
315,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
316,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
318,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
320,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
324,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Cropland
325,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
326,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
