Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
141,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
142,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
143,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,NULL
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Water
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
324,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
