Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
103,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
105,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
245,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
257,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
263,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
289,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
302,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
308,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Cropland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
318,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
