Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Shrubland,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
