Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
24,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
25,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
27,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
41,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
61,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
65,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
66,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
67,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
73,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
78,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
79,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
80,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
82,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
83,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
86,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Water,Water
88,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
