Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Cropland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Water
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Built-up
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Water
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
331,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
