Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Bareland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Built-up
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
329,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
330,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
