Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
11,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
48,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
