Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
