Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
51,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
