Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
33,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
