Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
2,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
3,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
5,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
7,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Forest
8,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
9,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
10,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
11,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
12,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
16,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
17,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
18,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
19,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
20,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
21,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
22,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
23,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
24,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
25,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
26,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Water
27,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
28,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
29,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
30,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
31,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
32,NULL,Water,Water,Water,Water,Water,Water,Water
33,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
34,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
35,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
36,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
37,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
38,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
39,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
40,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
41,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Forest,Forest
42,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
43,NULL,Forest,Water,Non_Water,Water,Water,Water,Water
44,NULL,Forest,Water,Water,Water,Water,Water,Water
45,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
46,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
47,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
51,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
53,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
54,NULL,Forest,Forest,NULL,Non_Wetland,Water,Bareland,Forest
55,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
56,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
57,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
58,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
59,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
60,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Water
61,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
62,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
63,Grassland,Water,Water,Water,Water,Water,Water,Water
64,Grassland,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
65,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
66,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
67,Cropland,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
68,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
69,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
70,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
71,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
72,Cropland,Water,Water,Water,Water,Water,Water,Water
73,Wetland,NULL,Forest,Water,Non_Wetland,Water,Water,Water
74,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
75,Wetland,Water,Water,Water,Water,Water,Water,Water
76,Wetland,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
77,Wetland,Forest,Wetland,Water,Wetland,Water,Water,Water
78,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
79,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
80,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
81,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
82,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
83,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
84,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
85,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
86,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
87,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
88,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
89,Bareland,Bareland,Water,Water,Water,Water,Water,Water
90,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Water,Forest
91,Bareland,Built-up,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
92,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
93,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
94,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
95,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
96,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
97,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
98,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
99,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
100,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
101,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
102,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
103,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
104,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
105,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
106,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
107,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
108,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
109,Bareland,Water,Water,Water,Water,Bareland,Water,Water
110,Bareland,Water,Water,Water,Water,Water,Wetland,Water
111,Bareland,Water,Water,Water,Water,Water,Water,Water
112,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
113,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
114,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
115,Bareland,Forest,NULL,Water,Non_Wetland,Bareland,Water,Water
116,Bareland,Forest,Shrubland,Water,Non_Wetland,Water,Water,Grassland
117,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Water
118,Bareland,Forest,Grassland,Water,Non_Wetland,Bareland,Water,Water
119,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Water,Grassland
120,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
121,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
122,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
123,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland,Water,Water
124,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
125,Bareland,Forest,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
126,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Water,Water
127,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
128,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
129,Bareland,Forest,Water,Water,Water,Water,Water,Water
130,Water,NULL,Water,Water,Water,Water,Water,Water
131,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
132,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
133,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
134,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
135,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
136,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
137,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
138,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
