Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
164,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
166,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
