Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Built-up
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Built-up
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
200,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
201,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
204,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
206,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
