Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
75,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
165,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
167,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
200,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
211,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
232,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
234,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
238,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
243,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
244,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
245,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
246,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
247,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
249,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
250,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
251,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
253,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
254,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
257,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
258,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
260,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
261,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
262,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
264,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
268,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
275,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
276,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
280,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Water
281,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
283,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
286,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
287,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
288,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
290,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
291,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
292,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
293,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
294,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
295,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
296,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
297,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
298,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
299,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
300,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
301,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
302,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
303,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
304,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
305,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
306,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
307,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Wetland
308,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Forest
309,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
310,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
311,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
312,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
313,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
315,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
316,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
317,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
318,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
319,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
320,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
321,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
322,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
323,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
324,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
325,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
326,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
327,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
328,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
329,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
330,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
331,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
