Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKL_M_R
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
41,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
42,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
43,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
44,NULL,NULL,Water,Water,Water,NULL,NULL,Water
45,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
71,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
75,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
80,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
83,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
88,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
89,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
90,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
91,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
92,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
93,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
94,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
95,NULL,Water,Water,NULL,Water,NULL,NULL,Water
96,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
97,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
98,NULL,Water,Water,Water,Water,NULL,NULL,Water
99,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
116,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
117,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
118,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
125,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
126,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
128,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
129,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
130,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
131,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
133,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
134,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
137,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
138,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
139,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
140,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
141,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
142,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
143,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
144,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
145,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
147,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
148,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
149,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
150,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
152,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
153,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
154,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
155,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
157,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
158,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
160,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
161,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
162,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
163,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
167,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
169,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
172,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
173,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
174,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
176,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
177,Grassland,Water,Water,Water,Water,NULL,NULL,Water
178,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
180,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
181,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
182,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
184,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
185,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
189,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
190,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
191,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
192,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
193,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
194,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
196,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
197,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
199,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
200,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
201,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
203,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
205,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
206,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
207,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
208,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
209,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
210,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
211,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
212,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
213,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
215,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
216,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
217,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
219,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
220,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
221,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
223,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
224,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
225,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
226,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
227,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
228,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
229,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
230,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
231,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
232,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
233,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
234,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
235,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
236,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
237,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
238,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
239,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
240,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
241,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
242,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
243,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
244,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
245,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
247,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
248,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
252,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
253,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
254,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
255,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
256,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
258,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
259,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
260,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
261,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
262,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
263,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
264,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
265,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
266,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
267,Wetland,Water,Water,Water,Water,NULL,NULL,Water
268,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
269,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
270,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
272,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
274,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
275,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
276,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
279,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
281,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
283,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
284,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
285,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
286,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
287,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
288,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
289,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
290,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
291,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
292,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
293,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
294,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
295,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
296,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
298,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
299,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
300,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
301,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
303,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
304,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
305,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
306,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
307,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
308,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
309,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
310,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
311,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
312,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
313,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
314,Water,NULL,Water,NULL,Water,NULL,NULL,Water
315,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
316,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
317,Water,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
318,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
319,Water,NULL,Water,Water,Water,NULL,NULL,Forest
320,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
321,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
322,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
323,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
324,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
326,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
327,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
328,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
329,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
330,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
331,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
332,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
333,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
334,Water,Wetland,Water,Water,Water,NULL,NULL,Water
335,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
336,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
337,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
338,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
339,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
340,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
341,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
343,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
344,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
345,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
346,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
347,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
348,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
349,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
