Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Cropland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
206,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
210,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
211,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
218,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
222,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
223,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
230,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
231,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
234,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
236,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
237,NULL,NULL,NULL,Water,Non_Wetland,Water,Built-up,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
239,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
