Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
67,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
80,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
93,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
107,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
110,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
111,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
112,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
113,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
119,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
123,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
133,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
134,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
135,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
136,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
137,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
138,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
139,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
142,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
145,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
147,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
150,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
151,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
152,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
153,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
154,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
161,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
162,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
172,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
175,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
182,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
194,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
198,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
199,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
200,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
203,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
207,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
209,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
210,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
215,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
216,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
217,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
219,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
220,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
221,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
222,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
223,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
224,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
225,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
226,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
227,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
228,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
229,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
231,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
234,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
237,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
238,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
239,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
240,NULL,Water,Water,Water,Water,NULL,NULL,Water
241,NULL,Water,Water,Water,Water,NULL,NULL,Forest
242,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
246,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
249,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
256,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
257,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
262,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
263,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
266,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
273,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
274,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
275,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
280,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
281,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
282,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
285,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
288,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
289,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
290,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
291,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
292,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
294,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
295,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
296,NULL,Forest,Water,Water,Water,NULL,NULL,Bareland
297,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
298,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
304,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
308,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
309,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
310,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
312,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
313,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
315,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
316,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
319,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
321,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
322,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
323,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
324,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
325,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
327,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
328,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
330,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
331,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
333,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
336,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
337,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
