Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFV_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
96,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
115,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
121,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
123,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
124,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
127,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
128,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
129,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
130,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
131,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
134,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
135,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
136,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
137,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
138,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
139,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
141,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
146,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
163,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
173,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
174,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
176,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
177,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
178,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
185,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
186,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
189,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
191,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
192,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
193,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
195,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
196,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
197,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
198,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
199,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
203,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
205,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
207,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
208,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
209,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
211,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
212,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
213,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
215,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
216,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
217,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
219,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
222,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
223,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
224,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
226,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
227,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
228,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
229,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
230,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
231,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
232,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
233,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
234,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
235,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
238,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
239,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
240,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
242,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
243,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
244,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
245,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
246,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
247,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
249,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
250,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
252,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
254,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
255,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
256,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
257,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
258,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
259,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
260,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
262,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
265,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
267,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
268,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
271,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
272,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
273,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
274,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
275,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
281,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
285,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
287,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
288,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
290,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
296,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
297,Grassland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
298,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
301,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
307,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
308,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
309,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
310,Grassland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
314,Grassland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,Grassland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
316,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
322,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
323,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
324,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
325,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
326,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
327,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
328,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
