Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
58,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Water
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
115,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
117,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
120,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
122,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
156,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Water
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
167,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Water
168,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
173,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Water
174,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Bareland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Water
185,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Water
191,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
192,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
194,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Water
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Water
205,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
206,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Water
208,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Built-up,Water
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
213,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Bareland
214,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
215,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
216,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Water
217,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Water
218,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
219,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
220,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Built-up,Grassland
221,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Built-up,Water
222,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
223,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Water
224,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
225,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
226,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
227,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
228,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
229,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
230,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
231,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Water
232,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
233,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
234,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Built-up,Water
236,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
237,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Water
238,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Grassland,Grassland
239,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Water
240,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
241,NULL,NULL,Grassland,Water,Non_Wetland,Water,Built-up,Water
242,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
243,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
261,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
267,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
271,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
273,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
274,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
284,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Forest
285,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Water,Grassland
286,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
296,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
297,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
298,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
299,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
300,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
301,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
302,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
303,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
304,NULL,NULL,Wetland,Water,Wetland,Built-up,Built-up,Water
305,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
306,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
307,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Forest
309,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
311,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Water,Grassland
312,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Water,Bareland
313,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Bareland
314,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Water,Water
316,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Grassland
317,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Water
318,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland,Built-up,Water
319,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water,Built-up,Water
320,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
321,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
322,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
