Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
11,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
17,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
18,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
19,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
20,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
21,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
23,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Water,Water,Water,NULL,NULL,Water
26,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
