Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
116,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
121,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
122,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
124,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
125,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
126,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
245,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
246,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
249,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
296,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland,Forest
297,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
300,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
301,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
302,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
304,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
305,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Bareland
306,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
312,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
