Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
74,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Water
81,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
86,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
