Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
42,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
47,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
48,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
51,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Water
53,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
54,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
