Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
83,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
84,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
85,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
86,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
87,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
88,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
100,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
101,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
133,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
135,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
137,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
140,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
142,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
143,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
145,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
146,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Built-up
147,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
150,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
151,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
158,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
161,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
164,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
173,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
174,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
175,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
176,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
177,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
185,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
192,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
197,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
200,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
203,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
216,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
226,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
232,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
233,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
234,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
235,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
236,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
237,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
247,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
250,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
251,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
256,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
258,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
259,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,NULL
262,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
264,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
265,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
266,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
267,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
268,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
269,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
270,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
271,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Cropland
272,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
273,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
274,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
276,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
283,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
287,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
303,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
313,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
318,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
321,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
322,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
324,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
327,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
329,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
330,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
331,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
