Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Forest
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Cropland
315,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
317,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
