Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Water
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
321,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Wetland
329,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
330,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
331,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
