Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Water
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
305,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
306,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Water
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
329,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
330,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
