Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
