Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
77,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
80,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
