Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
