Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
21,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
24,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
27,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
28,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
33,NULL,NULL,Water,Water,Water,NULL,NULL,Water
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
