Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQU_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
126,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
128,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
129,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
130,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
131,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
132,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
133,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
134,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
136,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
137,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
138,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
139,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
140,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
141,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
142,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
143,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
144,NULL,NULL,Water,Water,Water,NULL,NULL,Water
145,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
155,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
157,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
160,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
165,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
166,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
173,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
184,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
191,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
192,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
196,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
200,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
203,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
205,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
208,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
210,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
211,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
212,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
213,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
214,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
216,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
217,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
219,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
227,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
231,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
233,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
235,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
238,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
239,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
240,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
241,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
242,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
243,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
244,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
245,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
246,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
247,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
248,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
249,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
251,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
252,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
253,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
254,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
255,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
257,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
266,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
268,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
273,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
274,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
275,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
276,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
277,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
278,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
279,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
280,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
282,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
283,NULL,Wetland,Water,NULL,Water,NULL,NULL,Cropland
284,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
285,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
286,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
287,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Cropland
288,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
289,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
290,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
291,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
292,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
296,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
300,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
302,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
303,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
304,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
309,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
318,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
319,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
321,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
325,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
326,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
327,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
328,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
330,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
333,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
335,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
336,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
337,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
338,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
339,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
340,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
