Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
