Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Water
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
329,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
330,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
