Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLV_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
133,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
139,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
140,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
143,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
145,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
146,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
147,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
148,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
149,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
150,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
151,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
152,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
153,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
154,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
155,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
156,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
157,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
158,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
159,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
160,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
161,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
162,NULL,NULL,Water,Water,Water,NULL,NULL,Water
163,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
168,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
173,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
175,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
176,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
177,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
178,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
179,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
180,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
182,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
183,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
184,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
194,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
202,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
205,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
214,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
217,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
218,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
228,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
229,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
230,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
231,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
232,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
233,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
235,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
237,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
238,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
253,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
256,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
258,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
260,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
261,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
262,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
263,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
264,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
265,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
266,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
267,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
268,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
269,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
270,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
271,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
273,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
274,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
275,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
276,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
278,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
280,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
281,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
284,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
286,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
289,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
290,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
291,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
292,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
295,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
296,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
298,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
301,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
303,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
304,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
305,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
308,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
311,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
314,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
316,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
318,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
320,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
321,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
322,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
325,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
326,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
327,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
328,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
329,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
330,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
331,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
332,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
333,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
334,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
335,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
336,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
