Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LYR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
290,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Shrubland,Cropland
292,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Built-up
294,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
295,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
299,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Cropland
301,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
302,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Bareland
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
308,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
