Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
8,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
9,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
10,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
11,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
12,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
14,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
16,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
17,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
18,NULL,NULL,Water,Water,Water,NULL,NULL,Water
19,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
22,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
23,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
24,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
25,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
26,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
28,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
33,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
34,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
39,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
40,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
41,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
45,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
46,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
47,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
49,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
50,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
54,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
55,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
56,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
57,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
58,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
59,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
60,NULL,Water,Water,Water,Water,NULL,NULL,Water
61,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
67,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
71,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
72,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
73,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
75,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
76,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
78,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
79,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
80,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
82,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
83,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
84,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
85,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
86,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
87,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
88,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
89,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
90,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
91,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
